PagePath,Country,DeviceCategory,ActiveUsers,PageViews,AvgSessionDuration
/,Croatia,desktop,4,156,5464.72745725
/analytics,Croatia,desktop,4,71,3190.246792
/map,Croatia,desktop,4,48,3726.74090625
/recommendations,Croatia,desktop,4,129,5225.616784
/event/13,Croatia,desktop,2,2,77.4431245
/event/17,Croatia,desktop,2,3,150.0618455
/event/10,Croatia,desktop,1,1,0
/event/11,Croatia,desktop,1,2,181.048621
/event/18,Croatia,desktop,1,1,57.064028
/event/3,Croatia,desktop,1,1,0
/event/4,Croatia,desktop,1,1,446.208773
