from,to,value
/,/recommendations,75
/recommendations,/analytics,69
/,/,53
/recommendations,/,45
/analytics,/,44
/map,/recommendations,39
/,/analytics,37
/recommendations,/map,32
/map,/,31
/analytics,/recommendations,28
/,/map,25
/recommendations,/recommendations,24
/analytics,/map,17
/recommendations,/,12
/map,/analytics,11
/map,/recommendations,9
/,/event/17,8
/map,/,7
/analytics,/analytics,7
/,/recommendations,7
/event/17,/,6
/,/,6
/map,/map,5
/,/event/17,4
/,/event/18,4
/,/event/9,4
/,/map,4
/event/9,/map,4
/event/18,/,3
/event/9,/,3
/,/event/10,3
/,/event/12,3
/,/event/20,3
/,/event/4,3
/,/event/5,3
/event/17,/map,3
/map,/map,3
/recommendations,/map,3
/recommendations,/recommendations,3
/event/12,/,2
/event/14,/,2
/event/17,/,2
/event/5,/,2
/,/event/1,2
/,/event/11,2
/,/event/11,2
/,/event/13,2
/,/event/13,2
/,/event/15,2
/,/event/7,2
/event/17,/map,2
/event/11,/recommendations,2
/event/10,/,1
/event/13,/,1
/event/4,/,1
/event/5,/,1
/event/11,/,1
/event/13,/,1
/event/16,/,1
/event/2,/,1
/event/20,/,1
/event/3,/,1
/event/4,/,1
/event/17,/analytics,1
/,/event/10,1
/,/event/14,1
/,/event/16,1
/,/event/18,1
/,/event/2,1
/,/event/3,1
/,/event/3,1
/,/event/4,1
/,/event/5,1
/event/1,/map,1
/event/7,/map,1
/event/13,/recommendations,1
/event/17,/recommendations,1
/event/18,/recommendations,1
/event/3,/recommendations,1
/event/12,/recommendations,1
/event/18,/recommendations,1
/event/20,/recommendations,1
